date,tavg,tmin,tmax,prcp,snow,wspd,pres
6/18/17,30.6,25.6,37.8,0,0,11.5,1006.9
6/19/17,27.8,24.4,33.3,0.3,0,6.1,1012.2
6/20/17,29.9,24.4,36.7,0,0,8.3,1013.1
6/21/17,29.9,23.9,36.1,0,0,9.4,1009
6/22/17,30.1,24.4,37.2,0,0,7.9,1004.5
6/23/17,32,25.6,40,0,0,11.2,1007
6/24/17,26.9,22.2,29.4,3.6,0,7.6,1015.9
6/25/17,26.9,23.9,32.2,0.5,0,7.9,1019.2
6/26/17,26.3,22.2,32.8,27.2,0,4,1017.5
6/27/17,25.4,21.7,32.8,0.3,0,4.7,
6/28/17,27.2,21.7,33.3,0,0,6.8,1011.9
6/29/17,29.6,23.9,37.2,0,0,9.4,1009.9
6/30/17,30.3,26.1,36.7,0,0,13.3,1011.4
7/1/17,30.5,26.1,36.7,0,0,11.9,1015.5
7/2/17,30.8,25.6,37.8,0,0,9.4,1017.1
7/3/17,30.4,24.4,37.2,0,0,10.8,1015.1
7/4/17,31.1,25.6,38.3,0,0,10.8,1014.1
7/5/17,30.7,25.6,37.2,0,0,9,1015.5
7/6/17,30.3,25,37.8,0,0,6.1,1017.3
7/7/17,29.2,23.9,37.2,0.5,0,4.3,
7/8/17,30.6,23.9,37.8,0,0,5,1016.5
7/9/17,31.3,25,38.3,0,0,6.8,1015.4
7/10/17,30.9,24.4,37.8,0,0,8.3,1014.1
7/11/17,30.8,25,38.3,0,0,11.2,1013.8
7/12/17,30.3,25,38.3,0,0,9.4,1015.2
7/13/17,30.6,25,38.9,0,0,5.4,1017.1
7/14/17,31.3,25,38.3,0,0,6.1,1017.5
7/15/17,28.5,21.7,39.4,4.1,0,4.3,1016.4
7/16/17,27.3,20,37.2,0,0,4.7,1013.5
7/17/17,29.6,25,36.7,0,0,5.4,1012.3
7/18/17,30.3,24.4,37.8,0,0,8.3,1015.1
7/19/17,30.9,25,38.3,0,0,7.6,1017.6
7/20/17,32,25,39.4,0,0,8.3,1016.9
7/21/17,32.2,25,40,0,0,8.3,1014.2
7/22/17,31.9,25,39.4,0,0,9,1012.3
7/23/17,29.6,25,39.4,1,0,5.8,1011.7
7/24/17,28.9,24.4,38.9,0.3,0,5,
7/25/17,31.1,25.6,39.4,0,0,10.8,1016.2
7/26/17,31.4,25.6,39.4,0,0,9,1016.5
7/27/17,31.5,23.9,39.4,0,0,7.6,1014.9
7/28/17,32.2,24.4,40.6,0,0,7.2,1012.4
7/29/17,33.4,25,41.7,0,0,7.2,1011
7/30/17,33,26.1,41.1,0,0,6.1,1012.6
7/31/17,30.8,25,37.2,0,0,6.8,1014.9
8/1/17,30.9,23.9,37.8,0,0,5,1014.4
8/2/17,27.8,25.6,30.6,0,0,5.8,1015
8/3/17,28.5,23.9,35,0.8,0,4.3,1015.7
8/4/17,30.3,24.4,37.2,0,0,3.6,1015.2
8/5/17,31.2,25,38.9,0,0,10.1,1012.8
8/6/17,30.8,25.6,38.3,0,0,11.5,1009.9
8/7/17,24.2,20.6,29.4,61.2,0,2.5,
8/8/17,27.8,22.8,34.4,0,0,6.1,1014.4
8/9/17,29.1,23.3,35.6,0,0,4,1015.4
8/10/17,30.5,23.9,37.8,0,0,6.1,1016.6
8/11/17,31.2,24.4,37.8,0,0,5.8,1015.7
8/12/17,31.5,25.6,37.8,0,0,9.4,1013.2
8/13/17,31.4,25.6,38.3,0,0,9,1011
8/14/17,30.9,25,37.8,0,0,10.1,1009.6
8/15/17,30.7,25,37.2,0,0,11.5,1009.7
8/16/17,31.2,26.7,38.3,0,0,12.2,1011.8
8/17/17,31.8,26.7,38.9,0,0,9.7,1014.2
8/18/17,31.3,25.6,38.3,0,0,7.9,1014.6
8/19/17,31.7,24.4,38.3,0,0,6.8,1014
8/20/17,31.5,24.4,38.3,0,0,8.3,1014
8/21/17,30.7,25.6,37.2,0,0,6.8,1016.5
8/22/17,31,24.4,37.8,0,0,5.8,1015.8
8/23/17,29.2,23.9,37.8,1,0,3.6,1013.4
8/24/17,27.9,24.4,35.6,0.5,0,3.6,1011.2
8/25/17,27.4,24.4,32.2,5.8,0,9.4,1010.7
8/26/17,23.4,22.2,24.4,129,0,22.7,
8/27/17,22.4,21.1,23.3,65.3,0,18.7,
8/28/17,24.2,21.1,30,1.5,0,16.6,1010.1
8/29/17,26.4,21.1,32.2,0,0,12.2,1010.8
8/30/17,27.3,21.1,33.9,0,0,8.3,1011.3
8/31/17,26.7,20,33.9,0,0,5.4,1013.5
9/1/17,27.5,20,34.4,0,0,2.5,1015.1
9/2/17,27.6,20.6,34.4,0,0,3.6,1016
9/3/17,27.4,21.1,33.3,0,0,4.3,1017.3
9/4/17,27.2,21.7,33.3,0,0,3.2,1015.8
9/5/17,28.2,22.2,35.6,0,0,4.3,1014.6
9/6/17,25.9,19.4,30.6,0,0,10.1,1017.8
9/7/17,22.8,13.9,29.4,0,0,4.3,1019.4
9/8/17,23,15,29.4,0,0,5,1018.9
9/9/17,24.2,17.2,30.6,0,0,4.7,1019.1
9/10/17,24.2,18.9,30,0,0,6.1,1019
9/11/17,23.6,16.1,30.6,0,0,5,1017
9/12/17,24.9,17.2,33.9,0,0,5.4,1011.8
9/13/17,25.1,17.2,33.9,0,0,4.7,1008.9
9/14/17,27.8,23.3,34.4,0,0,10.1,1009.3
9/15/17,27.2,22.8,33.3,0,0,9.4,1011.3
9/16/17,28.2,23.9,33.9,0,0,7.6,1013.5
9/17/17,27.5,22.2,33.9,0,0,6.8,1015.1
9/18/17,28.6,23.9,35,0,0,6.8,1013.8
9/19/17,28.7,25,35,0,0,9.4,1011.5
9/20/17,29.3,25,35.6,0,0,10.4,1011.1
9/21/17,28.6,23.9,35.6,0.5,0,9.7,1012.2
9/22/17,26.9,23.9,32.8,0,0,9.4,1012.7
9/23/17,27.1,22.8,32.2,0,0,7.6,1011.8
9/24/17,26.6,23.3,32.2,0,0,9.7,1010.7
9/25/17,26.2,23.3,32.8,0,0,8.6,1010
9/26/17,24.2,21.7,28.3,41.1,0,6.1,
9/27/17,24.9,21.7,29.4,2.3,0,4.7,1013.5
9/28/17,24.8,22.8,28.9,1.5,0,7.9,1015.3
9/29/17,22.7,21.1,24.4,6.1,0,9.4,
9/30/17,23.8,18.9,30.6,0,0,6.5,1018.3
10/1/17,23.8,16.7,31.1,0,0,2.9,1014.1
10/2/17,25.9,20.6,31.7,0,0,6.5,1012.5
10/3/17,25.3,23.3,30.6,16.3,0,6.5,1016.9
10/4/17,26.7,24.4,31.7,0,0,7.2,1020.6
10/5/17,26.2,21.1,31.7,0,0,4.3,1018
10/6/17,25,20,30.6,0,0,4.7,1013.2
10/7/17,25.4,20,31.1,0,0,3.6,1007.7
10/8/17,26.4,20,32.8,0,0,4.7,1005.7
10/9/17,27.4,22.8,33.3,0,0,8.6,1007.3
10/10/17,20.4,15.6,26.1,0.3,0,12.6,1019.5
10/11/17,19.8,13.9,26.7,0,0,4.7,1021.1
10/12/17,23.1,16.1,31.1,0,0,3.2,1017.7
10/13/17,26,20.6,32.2,0,0,4.7,1017.1
10/14/17,27,22.8,32.2,0,0,5.4,1016.2
10/15/17,23.3,17.2,26.1,0,0,9.7,1020.1
10/16/17,18.3,12.2,25,0,0,7.9,1026
10/17/17,17.2,10,26.1,0,0,2.2,1023.8
10/18/17,18.2,9.4,28.3,0,0,3.2,1020.4
10/19/17,21.3,13.9,28.9,0,0,5.4,1018.9
10/20/17,22.6,18.9,28.9,1,0,4.3,1015.3
10/21/17,26.1,22.2,31.7,0,0,9.4,1011.7
10/22/17,22.2,12.8,26.7,17.5,0,7.9,1018.1
10/23/17,18.4,10,27.8,0,0,2.9,1020.1
10/24/17,19.7,12.2,26.1,0,0,10.1,1025.4
10/25/17,17.7,10.6,27.2,0,0,5.4,1022.6
10/26/17,19.3,10,28.3,0,0,7.6,1011.5
10/27/17,14.5,7.8,18.9,0,0,14.4,1016.2
10/28/17,10.1,3.9,17.8,0,0,7.2,1022.5
10/29/17,13.3,3.9,24.4,0,0,4,1018
10/30/17,17.2,8.9,26.7,0,0,4.7,1014.1
10/31/17,13.8,10.6,16.7,9.7,0,7.9,1017.9
11/1/17,16.6,11.1,25.6,0,0,3.2,1011.6
11/2/17,23.8,18.9,29.4,0,0,9,1013.1
11/3/17,26,23.3,31.1,0,0,5.8,1016
11/4/17,24.5,21.7,28.3,0,0,7.2,1014.7
11/5/17,24.7,22.2,31.1,0,0,7.6,1012.9
11/6/17,25,22.2,31.1,0,0,8.3,1014.2
11/7/17,21.1,15.6,26.1,0,0,9.4,1017.5
11/8/17,10.6,7.8,15.6,2,0,11.2,
11/9/17,10.6,7.8,13.9,0,0,6.8,1025.1
11/10/17,14.3,11.1,17.2,0,0,4.7,1023.9
11/11/17,19.1,15,23.9,0,0,5.8,1019.8
11/12/17,20.7,18.3,25.6,1,0,3.6,1021.9
11/13/17,21.2,17.2,25.6,0,0,3.6,1024
11/14/17,21.6,16.7,26.7,0,0,8.6,1019.2
11/15/17,21.2,20,22.8,0,0,4.7,1015.8
11/16/17,22.4,17.8,28.3,0,0,4.7,1017
11/17/17,24,21.1,29.4,0,0,11.5,1013
11/18/17,21.8,12.2,28.9,0,0,15.1,1014.1
11/19/17,12.4,6.1,18.3,0,0,5,1026.2
11/20/17,12.1,4.4,20.6,0,0,3.6,1020.4
11/21/17,16.4,10.6,24.4,0,0,7.2,1013.5
11/22/17,13.6,6.1,18.9,0,0,11.2,1025
11/23/17,11.9,3.3,22.2,0,0,1.8,1021.7
11/24/17,15,5.6,25,0,0,4,1014.4
11/25/17,17.8,9.4,27.2,0,0,4.7,1014.5
11/26/17,18.3,12.2,25.6,0,0,2.2,1023
11/27/17,17.3,11.7,25,0,0,6.5,1019.6
11/28/17,18.4,11.7,26.7,0,0,6.1,1016.9
11/29/17,16.7,10,22.8,0,0,5.8,1022.3
11/30/17,15.8,7.8,25,0,0,1.8,1022.2
12/1/17,17.5,11.7,25,0,0,2.5,1021.1
12/2/17,18.2,10.6,26.7,0,0,2.9,1019.4
12/3/17,18.7,16.1,22.8,0.3,0,5.4,1017.1
12/4/17,23.4,19.4,29.4,0,0,8.3,1012.4
12/5/17,14.9,5.6,22.2,3.6,0,12.6,1021.1
12/6/17,5.2,4.4,6.1,23.9,0,9,1028.3
12/7/17,5.1,0,8.3,2.3,0,9.4,1028.4
12/8/17,3.6,-0.5,9.4,0,0,4.3,1025.1
12/9/17,10.4,1.1,19.4,0,0,9.7,1025.4
12/10/17,10.8,3.3,21.1,0,0,3.2,1029.8
12/11/17,13.9,6.7,24.4,0,0,8.3,1025
12/12/17,12.2,3.9,18.3,0,0,8.3,1026.4
12/13/17,9.3,2.2,16.7,0,0,4.3,1019.6
12/14/17,11.8,6.7,18.3,0,0,6.8,1016.2
12/15/17,10.5,5.6,16.1,0,0,6.1,1025.2
12/16/17,7.4,5,11.7,33.5,0,2.5,
12/17/17,9.6,7.2,15,0,0,2.9,
12/18/17,11.7,9.4,13.9,0,0,0.4,1021
12/19/17,17.2,13.3,21.7,41.7,0,5.8,
12/20/17,15.9,10,25,0,0,4.7,1015.7
12/21/17,17.9,8.9,26.1,0,0,6.8,
12/22/17,14.2,5,21.7,4.3,0,10.1,
12/23/17,7.1,2.8,13.3,0,0,4,1024.4
12/24/17,7.4,3.3,17.2,0,0,7.6,1025
12/25/17,7.1,1.1,12.8,0,0,7.6,1027.9
12/26/17,7.9,5,10.6,0,0,7.9,
12/27/17,4,3.3,5,0,0,12.2,1031.5
12/28/17,5.8,2.8,10,0,0,2.9,1029.9
12/29/17,,4.4,9.4,0,0,4,
12/30/17,,6.1,17.2,0,0,9,
12/31/17,2.7,-2.7,6.1,0,0,13.3,
1/1/18,-2.3,-3.8,0,0,0,12.2,1040.1
1/2/18,-1.7,-3.2,0,0,0,7.9,
1/3/18,2.9,-5.5,13.3,0,0,3.6,1031.4
1/4/18,6.3,-1,12.8,0,0,3.2,1028.2
1/5/18,10.1,6.7,16.7,0,0,4,1027.5
1/6/18,11.2,4.4,17.2,0,0,5.4,1026
1/7/18,15.6,12.2,19.4,0,0,7.9,1016.7
1/8/18,14,6.7,20.6,0,0,9.4,1019.9
1/9/18,11.6,3.9,21.1,0,0,4.3,1019.6
1/10/18,14,8.9,21.7,0,0,10.4,1012.1
1/11/18,13.8,6.7,22.2,0,0,12.2,1012.5
1/12/18,6.8,1.1,14.4,0,0,12.2,1025.8
1/13/18,5.1,0,12.2,0,0,5.4,1034.5
1/14/18,7,-1.6,16.1,0,0,4.7,1032.1
1/15/18,11.5,3.3,21.7,2.5,0,7.2,1026.1
1/16/18,-1.7,-3.2,3.3,3.6,0,16.2,1039.4
1/17/18,-2.4,-7.7,3.3,0,0,5.8,1040.9
1/18/18,2.3,-3.2,7.2,0,0,4,1033.3
1/19/18,7.8,4.4,12.2,0.3,0,3.2,1023.6
1/20/18,14.2,10.6,20,0,0,6.8,1017
1/21/18,18.6,15,22.2,0.3,0,8.3,1012
1/22/18,13.7,7.2,18.3,0,0,9.4,1018.3
1/23/18,10.2,3.9,18.9,0,0,5,1025.2
1/24/18,9.3,2.2,18.3,0,0,4,1030.7
1/25/18,9.7,0,18.9,0,0,6.5,1029.2
1/26/18,14.4,10.6,20,0,0,6.8,1022.6
1/27/18,17.2,15,21.1,0.5,0,7.9,1021.5
1/28/18,15.4,10,21.7,0,0,8.3,1025.3
1/29/18,11.9,4.4,20,0,0,8.6,1031.8
1/30/18,9.9,1.1,19.4,0,0,5.4,1030
1/31/18,14.4,7.8,22.2,0,0,10.8,1018.7
2/1/18,16.6,11.7,22.8,0,0,9.4,1017.1
2/2/18,11.1,7.2,15,0,0,11.2,1028.7
2/3/18,10.3,6.1,13.3,1.5,0,7.9,1018.7
2/4/18,13.3,5.6,24.4,0,0,5,1014.9
2/5/18,8.7,4.4,12.8,0,0,7.2,1020.7
2/6/18,8.8,3.9,12.2,1.8,0,8.3,1018.8
2/7/18,4.9,2.2,8.9,0.3,0,11.9,1027.6
2/8/18,8.2,1.1,15,0,0,6.8,1029.5
2/9/18,13.9,11.1,17.8,0.8,0,4.7,1019.3
2/10/18,11.6,4.4,16.7,1,0,7.6,1013.2
2/11/18,2.2,-0.5,6.1,2.5,0,12.2,1021.6
2/12/18,2.8,-0.5,6.7,0,0,8.3,1029.1
2/13/18,6.4,3.9,8.3,1,0,2.2,1029.8
2/14/18,13.4,7.8,22.2,1,0,4.7,1024.4
2/15/18,20.6,17.8,25,0,0,9.4,
2/16/18,18.9,13.9,21.7,0,0,7.6,1019
2/17/18,13.1,10,16.7,0,0,4.7,1019.8
2/18/18,15.7,10.6,23.9,0,0,7.9,1017.6
2/19/18,22.8,20.6,26.7,0,0,15.1,1011.3
2/20/18,21.9,20.6,22.8,5.1,0,13,1012.1
2/21/18,8,3.9,21.7,3.3,0,13,
2/22/18,4.7,2.8,6.7,15.2,0,7.9,1024.8
2/23/18,11.6,6.1,18.3,7.6,0,3.6,1020.3
2/24/18,20.9,16.7,23.3,0.3,0,10.1,1012
2/25/18,15.5,11.1,20,0.3,0,5.8,1015.7
2/26/18,14.4,8.3,21.1,0,0,5.8,1021.5
2/27/18,19.5,15,26.7,1.8,0,8.6,1016.1
2/28/18,22.8,20.6,28.3,0,0,9.7,1009.2
3/1/18,17.5,12.2,22.2,0,0,12.2,1017
3/2/18,16.6,11.1,23.9,0,0,6.1,1024
3/3/18,16.6,11.7,22.2,3.8,0,7.6,1021.2
3/4/18,21.1,17.2,27.2,1,0,11.2,1015.3
3/5/18,22.4,16.1,29.4,0,0,9.7,1012.8
3/6/18,16.9,10.6,23.3,0,0,8.3,1019
3/7/18,13.8,8.3,20.6,0,0,8.3,1025.1
3/8/18,14.6,9.4,21.7,0,0,9,1022.5
3/9/18,17.1,11.1,22.8,0,0,10.8,1013.8
3/10/18,24.4,18.3,32.2,0,0,10.4,1007.4
3/11/18,19.3,12.8,21.1,0,0,15.1,1013.6
3/12/18,13.4,7.8,20,0,0,11.2,1025.5
3/13/18,13.6,5.6,21.7,0,0,6.1,1024.8
3/14/18,14.5,5,22.2,0,0,5,1024.7
3/15/18,17,10,23.9,0,0,10.4,1015.7
3/16/18,23.3,17.2,31.7,0,0,6.1,1010.8
3/17/18,23.3,19.4,29.4,0.3,0,9.7,1010.5
3/18/18,23,20,28.9,0.5,0,4.7,1008.1
3/19/18,22.1,15.6,27.8,0,0,11.9,1007.6
3/20/18,16.4,9.4,23.9,0,0,8.3,1016.4
3/21/18,16.1,6.1,25.6,0,0,7.6,1020.8
3/22/18,18.9,11.1,27.2,0,0,11.2,1023
3/23/18,20.3,15,27.2,0,0,11.9,1017.7
3/24/18,23.2,20,28.9,0,0,9.4,1012.3
3/25/18,22.4,20,25,0,0,8.6,1010.9
3/26/18,24.2,20.6,31.1,0,0,14.8,1010.6
3/27/18,22.2,17.2,27.8,6.1,0,13,1012.8
3/28/18,17.8,14.4,22.2,83.3,0,7.6,
3/29/18,20,13.3,30,0,0,6.1,1011.9
3/30/18,18.1,12.8,23.3,0,0,7.9,1022.8
3/31/18,20.4,13.9,28.3,0,0,10.8,1018.8
4/1/18,21.9,17.8,27.8,0,0,10.4,1013.9
4/2/18,21.6,13.9,28.9,0,0,10.8,1009.8
4/3/18,22.7,16.7,27.8,0,0,10.8,1008.5
4/4/18,15.7,10,21.7,0,0,10.1,1022.8
4/5/18,19.2,13.9,25.6,0,0,9,1017.1
4/6/18,24.3,17.8,28.9,2,0,11.5,1007.8
4/7/18,9.3,4.4,17.8,0,0,15.1,1015.6
4/8/18,10.7,5,18.9,0,0,6.5,1013.6
4/9/18,15.4,11.7,18.3,0,0,7.2,1015.6
4/10/18,17.9,11.7,25.6,0,0,6.1,1024.8
4/11/18,18.7,8.3,27.8,0,0,8.3,1020.4
4/12/18,22.2,17.2,30,0,0,16.9,1011.3
4/13/18,24.1,15.6,31.1,1.8,0,11.9,1004
4/14/18,17.3,12.2,22.2,0,0,15.1,1014.8
4/15/18,15.8,8.3,25.6,0,0,7.2,1021.7
4/16/18,18.9,8.3,28.9,0,0,10.1,1021.2
4/17/18,21.8,14.4,30.6,0,0,12.2,1013.6
4/18/18,22.9,18.9,28.3,0,0,9.7,1015
4/19/18,19.8,15,25.6,0,0,9.4,1023.8
4/20/18,16.8,13.9,22.2,0,0,11.9,1021.5
4/21/18,18,14.4,22.8,0.8,0,6.5,1014.5
4/22/18,18.3,11.1,26.1,0,0,9,1017.7
4/23/18,20.7,11.1,30.6,0,0,3.6,1017.4
4/24/18,23.1,15,30.6,0,0,5.8,1016.7
4/25/18,20.3,12.8,31.7,7.1,0,6.1,1017.5
4/26/18,17.5,10,25.6,0,0,5,1016.5
4/27/18,20.2,12.8,26.7,0,0,2.5,1017.4
4/28/18,22,13.3,30,0,0,4.3,1016.8
4/29/18,22,15,28.9,0,0,7.9,1018.2
4/30/18,21.3,17.8,26.7,0.3,0,12.2,1016.6
5/1/18,23.3,21.1,27.2,0,0,13.7,1013.4
5/2/18,25.9,22.8,32.2,0,0,14.4,1013.6
5/3/18,26.5,23.9,31.1,0,0,13.7,1013.5
5/4/18,20.6,16.7,23.9,93.2,0,8.3,1017.9
5/5/18,22.8,17.2,30,0.3,0,6.1,1019.7
5/6/18,23.4,15.6,32.2,0,0,3.2,1019.6
5/7/18,24.3,14.4,32.8,0,0,4,1019.2
5/8/18,25,17.8,31.1,0,0,8.3,1016.6
5/9/18,24.6,18.9,31.1,0,0,11.9,1015.3
5/10/18,24.8,18.9,32.2,0,0,9.7,1015.1
5/11/18,26,21.1,32.2,0,0,13,1012.9
5/12/18,27,22.8,32.8,0,0,12.6,
5/13/18,27.2,23.3,32.8,0,0,10.8,1014.1
5/14/18,27.3,23.3,32.8,0,0,9.7,1013.2
5/15/18,26.9,22.2,32.2,0.5,0,8.3,1012.5
5/16/18,27.3,18.9,36.1,0,0,4.7,1011.7
5/17/18,29,21.1,35.6,0,0,5,1010.3
5/18/18,28.1,21.7,35,0,0,11.5,1008.2
5/19/18,27.8,22.2,34.4,0,0,14.4,1009.4
5/20/18,23.8,20.6,27.8,22.1,0,9,1014.1
5/21/18,23.6,20.6,31.1,0,0,5.8,1014.6
5/22/18,26.2,22.2,31.1,0,0,7.6,1014
5/23/18,26.5,22.8,32.2,0,0,7.9,1015.2
5/24/18,27.4,22.8,33.9,0,0,6.1,1016.1
5/25/18,28.8,23.3,35,0,0,6.8,1013
5/26/18,30.3,23.3,37.2,0,0,7.2,1008.6
5/27/18,29.7,23.3,36.1,0,0,8.3,1008.1
5/28/18,29.7,22.8,35.6,0,0,5.4,1008.3
5/29/18,29.9,23.3,36.1,0,0,8.3,1006.7
5/30/18,29.3,23.9,36.7,0,0,11.9,1007
5/31/18,29.8,24.4,36.7,0,0,12.6,1008.9
6/1/18,30.2,25,37.2,0,0,10.8,1010.4
6/2/18,30.8,25,38.3,0,0,9.4,1010.9
6/3/18,30.4,23.3,37.8,0.8,0,5.4,1014.4
6/4/18,26.3,21.7,31.7,32.3,0,5.8,1014.5
6/5/18,30,23.9,37.2,0,0,9,1009.9
6/6/18,30.5,25,37.2,0,0,10.1,1009.2
6/7/18,30.1,24.4,36.7,0,0,10.8,1012.1
6/8/18,29.5,23.9,35,0,0,9.4,1015.5
6/9/18,28.3,25,35.6,0.5,0,9,1015.5
6/10/18,30.2,25,37.2,0,0,10.8,1011.4
6/11/18,30.3,25.6,36.7,0,0,13.7,1008.9
6/12/18,30.6,25.6,37.8,0,0,12.6,1011.6
6/13/18,30.4,25.6,37.2,0,0,9,1014.5
6/14/18,29.6,24.4,37.2,0,0,9,1014.3
6/15/18,29.1,23.9,36.7,2.3,0,10.8,1012.2
6/16/18,28.3,24.4,34.4,3.8,0,11.5,1011.3
6/17/18,27.9,23.9,34.4,1.3,0,7.2,1011.8
6/18/18,27.5,24.4,33.9,1,0,9,1012
6/19/18,24.4,23.3,26.7,9.7,0,7.6,1011.3
6/20/18,25.6,23.9,28.9,1.8,0,6.8,1010
6/21/18,28.1,23.3,34.4,0,0,5.8,1011.8
6/22/18,30.5,24.4,38.3,0,0,9.4,1010.4
6/23/18,30.2,24.4,37.8,0,0,11.9,1008
6/24/18,30.6,25.6,37.8,0,0,14.4,1009.7
6/25/18,29.3,25,35,0.8,0,11.5,1013.1
6/26/18,30.7,25.6,37.8,0,0,10.8,1014.8
6/27/18,30.7,24.4,38.3,0,0,10.8,1013.9
6/28/18,30.3,24.4,37.8,0,0,10.1,1013.6
6/29/18,30.3,25.6,37.8,0,0,13,1013
6/30/18,30.9,25.6,38.3,0,0,14,1012.2
7/1/18,31.1,25,40,0,0,12.2,1012.6
7/2/18,31,24.4,38.9,0,0,8.3,1013.6
7/3/18,31.4,24.4,39.4,0,0,8.6,1013
7/4/18,26.9,22.2,36.1,43.2,0,5.8,1014.4
7/5/18,27.5,22.2,34.4,0,0,4,
7/6/18,29.9,24.4,35.6,0.8,0,6.1,1019.1
7/7/18,27.1,23.9,34.4,2.5,0,4.7,1017.4
7/8/18,26.4,22.8,33.9,10.7,0,5,1017
7/9/18,24.2,22.8,28.3,45,0,3.2,
7/10/18,27.8,22.8,33.9,0,0,4.3,1019.1
